M,N,K,l1_tile_M,l1_tile_N,l1_tile_K,l1_loop_order,l0_M_tiling_factor,l0_N_tiling_factor,l0_K_tiling_factor,dataflow,cycle_count
128,64,1024,32,32,256,knm,4,1,1,os,657
128,64,1024,32,32,256,knm,1,2,2,os,403
128,64,1024,32,32,256,knm,2,1,2,os,403
128,64,1024,32,32,256,knm,2,2,1,os,371
128,64,1024,32,32,256,knm,1,1,4,os,467
128,64,1024,32,32,256,knm,1,4,1,os,657
128,64,1024,32,32,128,knm,4,1,1,os,401
128,64,1024,32,32,128,knm,1,2,2,os,275
128,64,1024,32,32,128,knm,2,1,2,os,275
128,64,1024,32,32,128,knm,2,2,1,os,243
128,64,1024,32,32,128,knm,1,1,4,os,339
128,64,1024,32,32,128,knm,1,4,1,os,401
128,64,1024,32,32,64,knm,4,1,1,os,452
128,64,1024,32,32,64,knm,1,2,2,os,328
128,64,1024,32,32,64,knm,2,1,2,os,328
128,64,1024,32,32,64,knm,2,2,1,os,264
128,64,1024,32,32,64,knm,1,1,4,os,456
128,64,1024,32,32,64,knm,1,4,1,os,452
128,64,1024,32,32,32,knm,4,1,1,os,416
128,64,1024,32,32,32,knm,1,2,2,os,326
128,64,1024,32,32,32,knm,2,1,2,os,326
128,64,1024,32,32,32,knm,2,2,1,os,230
128,64,1024,32,32,32,knm,1,1,4,os,518
128,64,1024,32,32,32,knm,1,4,1,os,416
128,64,1024,64,64,256,knm,4,1,1,os,1137
128,64,1024,64,64,256,knm,1,2,2,os,1145
128,64,1024,64,64,256,knm,2,1,2,os,1145
128,64,1024,64,64,256,knm,2,2,1,os,1137
128,64,1024,64,64,256,knm,1,1,4,os,1161
128,64,1024,64,64,256,knm,1,4,1,os,1137
128,64,1024,64,64,128,knm,4,1,1,os,723
128,64,1024,64,64,128,knm,1,2,2,os,851
128,64,1024,64,64,128,knm,2,1,2,os,851
128,64,1024,64,64,128,knm,2,2,1,os,723
128,64,1024,64,64,128,knm,1,1,4,os,1107
128,64,1024,64,64,128,knm,1,4,1,os,723
128,64,1024,64,64,64,knm,4,1,1,os,467
128,64,1024,64,64,64,knm,1,2,2,os,595
128,64,1024,64,64,64,knm,2,1,2,os,595
128,64,1024,64,64,64,knm,2,2,1,os,467
128,64,1024,64,64,64,knm,1,1,4,os,851
128,64,1024,64,64,64,knm,1,4,1,os,467
128,64,1024,64,64,32,knm,4,1,1,os,339
128,64,1024,64,64,32,knm,1,2,2,os,467
128,64,1024,64,64,32,knm,2,1,2,os,467
128,64,1024,64,64,32,knm,2,2,1,os,339
128,64,1024,64,64,32,knm,1,1,4,os,723
128,64,1024,64,64,32,knm,1,4,1,os,339
