B, M, K, N, latency
2, 128, 256, 128, 1.4552470815943868e-07
1, 256, 128, 256, 1.3935764833968426e-07
1, 256, 256, 128, 1.3228089275993466e-07
1, 384, 256, 16384, 9.70930865541644e-06
1, 384, 16384, 832, 1.7670114316820904e-05
1, 384, 832, 16384, 2.98562874251497e-05
1, 384, 16384, 128, 5.072945019052803e-06
1, 384, 128, 16384, 7.529667936853566e-06
1, 384, 16384, 416, 1.0309199782253675e-05
1, 384, 416, 16384, 2.0806750136091454e-05
1, 20, 16384, 16384, 0.00014693086554164398
1, 20, 16384, 2048, 1.874959172563963e-05
1, 20, 16384, 53248, 0.00047631899836690254
1, 20, 53248, 16384, 0.0004770560696788242
1, 40, 16384, 16384, 0.00014780021774632554
1, 40, 16384, 2048, 1.915568862275449e-05
1, 40, 16384, 53248, 0.00047826946107784433
1, 40, 53248, 16384, 0.0004799678824169842
