M, N, latency
1025, 13312, 2.0619321357285428e-05
1025, 6656, 1.0309660678642714e-05
1025, 3328, 5.154830339321357e-06
1025, 1664, 2.602934131736527e-06
1025, 832, 1.3269860279441118e-06
1025, 416, 6.634930139720559e-07
1026, 53248, 8.252832335329342e-05
1026, 26624, 4.128968063872255e-05
1026, 13312, 2.0670359281437124e-05
1026, 6656, 1.036069860279441e-05
1026, 3328, 5.205868263473054e-06
1026, 1664, 2.602934131736527e-06
1026, 832, 1.3269860279441118e-06
1026, 416, 6.634930139720559e-07
1028, 53248, 8.26814371257485e-05
1028, 26624, 4.134071856287425e-05
1028, 13312, 2.0670359281437124e-05
1028, 6656, 1.036069860279441e-05
1028, 3328, 5.205868263473054e-06
1028, 1664, 2.602934131736527e-06
1028, 832, 1.3269860279441118e-06
1028, 416, 6.634930139720559e-07
1032, 53248, 8.303870259481039e-05
1032, 26624, 4.1544870259481036e-05
1032, 13312, 2.0772435129740518e-05
1032, 6656, 1.0411736526946107e-05
1032, 3328, 5.205868263473054e-06
1032, 1664, 2.602934131736527e-06
1032, 832, 1.3269860279441118e-06
1032, 416, 6.634930139720559e-07
1040, 53248, 8.365115768463074e-05
1040, 26624, 4.1851097804391216e-05
1040, 13312, 2.0925548902195608e-05
1040, 6656, 1.0462774451097804e-05
1040, 3328, 5.2569061876247504e-06
1040, 1664, 2.6539720558882236e-06
1040, 832, 1.3269860279441118e-06
1040, 416, 6.634930139720559e-07
1056, 53248, 8.492710578842316e-05
1056, 26624, 4.246355289421158e-05
1056, 13312, 2.123177644710579e-05
1056, 6656, 1.0615888223552894e-05
1056, 3328, 5.307944111776447e-06
1056, 1664, 2.6539720558882236e-06
1056, 832, 1.3269860279441118e-06
1056, 416, 6.634930139720559e-07
1088, 53248, 8.753003992015968e-05
1088, 26624, 4.379053892215569e-05
1088, 13312, 2.1895269461077843e-05
1088, 6656, 1.097315369261477e-05
1088, 3328, 5.5120958083832335e-06
1088, 1664, 2.7560479041916167e-06
1088, 832, 1.3780239520958084e-06
1088, 416, 7.145309381237525e-07
1152, 53248, 9.268487025948104e-05
1152, 26624, 4.634243512974052e-05
1152, 13312, 2.317121756487026e-05
1152, 6656, 1.158560878243513e-05
1152, 3328, 5.818323353293413e-06
1152, 1664, 2.9091616766467066e-06
1152, 832, 1.4800998003992015e-06
1152, 416, 7.655688622754491e-07
1280, 53248, 0.00010294349301397205
1280, 26624, 5.149726546906187e-05
1280, 13312, 2.5774151696606785e-05
1280, 6656, 1.2912594810379242e-05
1280, 3328, 6.481816367265469e-06
1280, 1664, 3.2664271457085827e-06
1280, 832, 1.6332135728542914e-06
1280, 416, 8.166067864271457e-07
1536, 53248, 0.0001235628143712575
1536, 26624, 6.180692614770459e-05
1536, 13312, 3.092898203592815e-05
1536, 6656, 1.5464491017964074e-05
1536, 3328, 7.757764471057884e-06
1536, 1664, 3.878882235528942e-06
1536, 832, 1.939441117764471e-06
1536, 416, 9.697205588822355e-07
2049, 53248, 0.00016480145708582834
2049, 26624, 8.242624750499001e-05
2049, 13312, 4.1238642714570855e-05
2049, 6656, 2.0619321357285428e-05
2049, 3328, 1.0309660678642714e-05
2049, 1664, 5.154830339321357e-06
2049, 832, 2.602934131736527e-06
2049, 416, 1.3269860279441118e-06
2050, 53248, 0.00016490353293413174
2050, 26624, 8.247728542914171e-05
2050, 13312, 4.1238642714570855e-05
2050, 6656, 2.0619321357285428e-05
2050, 3328, 1.0309660678642714e-05
2050, 1664, 5.154830339321357e-06
2050, 832, 2.602934131736527e-06
